Rank,Player,Team,Position,SF,SG,PG,C,PF,id,type,action,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,%ROST,#ERROR!,tot,avg,checked
300,Chris Boucher,,,False,False,False,False,False,300,,,15.5,2.5,4.9,1.5,1.9,0.7,4.5,0.4,0.4,0.6,0.6,7.0,0.4,-0.1,1013.0,15.3,False
301,Sam Merrill,Cle,SG,False,False,False,False,False,301,,,17.3,2.6,6.4,0.5,0.5,2.3,2.0,1.7,0.3,0.1,0.3,7.9,0.1,0.0,1011.0,15.3,False
302,Gary Payton II,GSS,G,False,False,False,False,False,302,,,16.1,2.4,4.2,0.4,0.6,0.5,2.8,1.1,1.0,0.4,0.6,5.7,0.4,0.0,993.0,16.0,False
303,Dean Wade,Cle,PF,False,False,False,False,False,303,,,20.4,1.8,4.2,0.4,0.5,1.3,3.8,0.8,0.7,0.4,0.4,5.2,0.2,0.0,992.0,14.8,False
304,Johnny Davis,Wsh,SG,False,False,False,False,False,304,,,,,,,,,,,,,,,0.1,0.0,,,False
305,Jae'Sean Tate,Hou,SF,False,False,False,False,False,305,,,17.9,2.3,4.7,0.7,1.0,0.4,3.4,1.4,0.7,0.3,0.8,5.6,0.2,0.0,980.0,14.2,False
306,Thomas Bryant,Mia,C,False,False,False,False,False,306,,,13.9,2.8,4.7,1.2,1.5,0.2,4.3,0.6,0.3,0.5,0.6,7.0,0.2,0.0,978.0,15.3,False
307,Bol Bol,Phx,PF,False,False,False,True,False,307,,,14.3,2.7,4.6,0.6,0.8,0.5,4.0,0.6,0.3,0.8,0.8,6.5,2.0,-0.2,978.0,15.5,False
308,Devonte' Graham,Por,PG,False,False,False,False,False,308,,,18.4,2.3,6.4,1.0,1.3,1.6,1.8,2.7,0.6,0.2,0.9,7.3,0.1,0.0,972.0,15.4,False
309,Gabe Vincent,LAL,PG,False,False,False,False,False,309,,,23.1,2.6,6.7,0.6,0.7,1.2,1.6,2.3,0.9,0.1,1.0,6.9,0.4,0.0,971.0,14.5,False
310,Maxi Kleber,Dal,PF,False,False,False,False,False,310,,,21.7,1.7,4.0,0.8,1.1,0.9,3.7,1.5,0.4,0.8,0.7,5.1,0.2,0.0,956.0,15.2,False
311,Aaron Holiday,Hou,PG,False,False,False,False,False,311,,,15.8,2.2,5.0,0.7,0.8,1.0,1.5,1.8,0.6,0.1,0.7,6.1,0.1,0.0,956.0,12.9,False
312,Ochai Agbaji,Tor,SF,False,True,False,False,False,312,,,20.9,2.4,5.8,0.6,0.8,0.9,2.6,1.1,0.5,0.5,0.8,6.3,0.2,0.0,955.0,13.3,False
313,KJ Martin,Phi,SF,False,False,False,False,False,313,,,17.3,2.7,4.9,0.8,1.3,0.4,3.2,1.1,0.4,0.3,0.7,6.6,0.5,-0.2,953.0,13.8,False
314,Tristan Vukcevic,Wsh,PF,False,False,False,False,False,314,,,15.6,2.9,6.9,1.7,2.3,1.0,3.7,1.3,0.5,0.7,1.0,8.7,0.1,0.0,953.0,17.3,False
315,GG Jackson II,Mem,PF,False,False,False,False,False,315,,,25.7,5.1,11.7,2.5,3.2,2.2,4.1,1.2,0.6,0.5,1.4,15.0,2.1,-0.2,953.0,23.2,False
316,Mouhamed Gueye,Atl,PF,False,False,False,False,False,316,,,12.2,1.3,3.8,0.8,1.0,0.5,3.7,0.7,0.8,0.7,0.2,4.0,0.1,0.0,944.0,13.9,False
317,Keon Ellis,Sac,SG,False,False,False,False,False,317,,,15.7,1.7,3.7,0.4,0.6,1.1,2.0,1.4,0.8,0.5,0.6,5.0,0.6,0.2,942.0,14.5,False
318,Noah Clowney,Bkn,PF,False,False,False,False,False,318,,,16.1,2.1,4.0,0.9,1.3,0.5,3.5,0.8,0.3,0.7,0.7,5.7,1.0,0.3,940.0,13.8,False
319,Jaylin Williams,OKC,C,False,False,False,False,False,319,,,13.9,1.5,3.5,0.5,0.7,0.8,3.6,1.6,0.4,0.4,0.5,4.3,0.3,0.0,934.0,13.3,False
